Data,Hora UTC,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA,TEMPERATURA MINIMA,UMIDADE REL MAX,UMIDADE REL MIN
2021/01/10,0100 UTC,,2,18,4,20
2021/01/10,0200 UTC,0,5,20,8,18
2021/01/10,0300 UTC,0,18,4,7,18
2021/01/10,0400 UTC,0,7,20,18,7
2021/01/10,0500 UTC,0,18,3,6,18
2021/01/10,0600 UTC,0,1,20,5,19
2021/01/10,0700 UTC,0,8,20,5,19
2021/01/10,0800 UTC,0,18,8,6,19
2021/01/10,0900 UTC,0,18,8,20,9
2021/01/10,1000 UTC,0,3,19,21,1
2021/01/10,1100 UTC,0,9,19,9,21
2021/01/10,1200 UTC,0,7,20,21,9
2021/01/10,1300 UTC,0,6,20,6,23
2021/01/10,1400 UTC,0,6,27,9,21
2021/01/10,1500 UTC,0,20,1,22,1
2021/01/10,1600 UTC,0,8,19,4,26
2021/01/10,1700 UTC,0,8,19,9,27
2021/01/10,1800 UTC,0,9,20,27,4
2021/01/10,1900 UTC,0,9,20,4,27
2021/01/10,2000 UTC,0,6,19,2,25
2021/01/10,2100 UTC,0,7,18,6,24
2021/01/10,2200 UTC,0,1,17,7,23
2021/01/10,2300 UTC,0,17,3,21,9
2021/01/11,0000 UTC,0,7,23,5,18
2021/01/11,0100 UTC,0,19,2,23,2
2021/01/11,0200 UTC,0,23,5,19,3
2021/01/11,0300 UTC,0,19,5,22,8
2021/01/11,0400 UTC,0,19,2,22,9
2021/01/11,0500 UTC,0,19,2,22,5
2021/01/11,0600 UTC,0,19,22,9,19
2021/01/11,0700 UTC,0,19,22,8,19
2021/01/11,0800 UTC,0,19,1,21,3
2021/01/11,0900 UTC,0,6,19,21,5
2021/01/11,1000 UTC,0,8,19,8,21
2021/01/11,1100 UTC,0,7,23,8,19
2021/01/11,1200 UTC,0,20,24,2,20
2021/01/11,1300 UTC,0,3,20,7,24
2021/01/11,1400 UTC,0,7,20,7,26
2021/01/11,1500 UTC,0,4,20,5,27
2021/01/11,1600 UTC,0,20,5,27,6
2021/01/11,1700 UTC,0,4,20,28,1
2021/01/11,1800 UTC,0,19,8,8,20
2021/01/11,1900 UTC,0,7,18,6,28
2021/01/11,2000 UTC,0,4,19,4,28
2021/01/11,2100 UTC,0,1,19,25,8
2021/01/11,2200 UTC,0,1,18,4,25
2021/01/11,2300 UTC,0,4,25,4,19
2021/01/12,0000 UTC,0,19,4,25,4
2021/01/12,0100 UTC,0,7,25,7,19
2021/01/12,0200 UTC,0,19,8,23,8
2021/01/12,0300 UTC,0,6,23,3,19
2021/01/12,0400 UTC,0,3,23,19,7
2021/01/12,0500 UTC,0,19,3,22,9
2021/01/12,0600 UTC,1,17,6,19,4
2021/01/12,0700 UTC,1,18,19,3,18
2021/01/12,0800 UTC,0,17,7,19,18
2021/01/12,0900 UTC,0,7,18,7,19
2021/01/12,1000 UTC,0,4,22,7,20
2021/01/12,1100 UTC,0,20,1,6,20
2021/01/12,1200 UTC,,25,9,26,1
2021/01/12,1300 UTC,0,19,27,7,21
2021/01/12,1400 UTC,0,4,20,4,25
2021/01/12,1500 UTC,0,5,18,26,5
2021/01/12,1600 UTC,0,1,18,3,28
2021/01/12,1700 UTC,0,20,6,7,20
2021/01/12,1800 UTC,0,9,20,6,27
2021/01/12,1900 UTC,0,20,29,21,3
2021/01/12,2000 UTC,0,6,19,26,6
2021/01/12,2100 UTC,0,19,26,8,19
2021/01/12,2200 UTC,0,8,18,24,8
2021/01/12,2300 UTC,0,18,9,23,8
2021/01/13,0000 UTC,0,18,8,23,4
2021/01/13,0100 UTC,0,18,6,22,8
2021/01/13,0200 UTC,0,18,8,23,1
2021/01/13,0300 UTC,0,18,9,21,8
2021/01/13,0400 UTC,0,18,8,21,8
2021/01/13,0500 UTC,0,18,5,21,5
2021/01/13,0600 UTC,0,18,5,21,2
2021/01/13,0700 UTC,0,18,22,9,18
2021/01/13,0800 UTC,0,18,22,4,18
2021/01/13,0900 UTC,0,3,17,4,21
2021/01/13,1000 UTC,0,18,1,3,18
2021/01/13,1100 UTC,0,1,18,1,22
2021/01/13,1200 UTC,0,9,18,24,1
2021/01/13,1300 UTC,0,1,19,1,24
2021/01/13,1400 UTC,0,6,19,8,25
2021/01/13,1500 UTC,0,8,18,3,25
2021/01/13,1600 UTC,0,1,18,7,25
2021/01/13,1700 UTC,0,4,17,5,27
2021/01/13,1800 UTC,0,4,18,7,27
2021/01/13,1900 UTC,0,9,17,8,26
2021/01/13,2000 UTC,0,3,18,3,26
2021/01/13,2100 UTC,0,17,8,25,3
2021/01/13,2200 UTC,0,17,2,24,6
2021/01/13,2300 UTC,0,17,24,8,17
2021/01/14,0000 UTC,0,16,9,23,2
2021/01/14,0100 UTC,0,16,8,22,8
2021/01/14,0200 UTC,0,16,2,4,16
2021/01/14,0300 UTC,0,22,6,3,15
2021/01/14,0400 UTC,0,9,22,5,16
2021/01/14,0500 UTC,0,16,3,21,1
2021/01/14,0600 UTC,0,16,6,20,6
2021/01/14,0700 UTC,0,16,6,20,3
2021/01/14,0800 UTC,0,20,4,16,6
2021/01/14,0900 UTC,0,2,16,2,19
2021/01/14,1000 UTC,0,16,8,20,2
2021/01/14,1100 UTC,0,7,17,3,21
2021/01/14,1200 UTC,0,17,2,22,7
2021/01/14,1300 UTC,0,2,17,5,24
2021/01/14,1400 UTC,0,1,27,6,19
2021/01/14,1500 UTC,0,16,8,25,18
2021/01/14,1600 UTC,0,3,16,4,25
2021/01/14,1700 UTC,0,1,29,6,18
2021/01/14,1800 UTC,0,1,29,2,17
2021/01/14,1900 UTC,0,9,15,7,26
2021/01/14,2000 UTC,0,8,14,1,27
2021/01/14,2100 UTC,0,2,14,8,26
2021/01/14,2200 UTC,0,9,15,3,24
2021/01/14,2300 UTC,0,25,1,15,7
2021/01/15,0000 UTC,0,1,24,5,16
2021/01/15,0100 UTC,0,2,23,16,3
2021/01/15,0200 UTC,0,16,4,22,2
2021/01/15,0300 UTC,0,5,22,7,16
2021/01/15,0400 UTC,0,16,6,9,16
2021/01/15,0500 UTC,0,16,6,20,6
2021/01/15,0600 UTC,0,16,6,20,5
2021/01/15,0700 UTC,0,5,20,16,7
2021/01/15,0800 UTC,0,16,5,19,8
2021/01/15,0900 UTC,0,16,5,7,16
2021/01/15,1000 UTC,0,7,17,7,20
2021/01/15,1100 UTC,0,8,16,6,21
2021/01/15,1200 UTC,0,4,17,6,22
2021/01/15,1300 UTC,0,26,9,18,8
